Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Cluster
1.0,Toyota,Innova,2024.0,CNG,Manual,2.0,3.0,800.0,4.0,3.0,2
2.0,Kia,EV6,2023.0,Diesel,Manual,2.0,2.0,2500.0,7.0,2.0,1
3.0,Maruti Suzuki,Dzire,2016.0,Petrol,Manual,3.0,2.0,2000.0,6.0,3.0,1
4.0,Honda,Amaze,2019.0,Petrol,Manual,2.0,2.0,2500.0,6.0,3.0,1
5.0,Honda,City,2015.0,Electric,Manual,2.0,2.0,1000.0,5.0,1.0,0
6.0,Kia,Sonet,2020.0,Petrol,Manual,2.0,2.0,1800.0,7.0,3.0,1
7.0,Toyota,Glanza,2019.0,CNG,Manual,2.0,3.0,1500.0,7.0,2.0,2
8.0,Volkswagen,Taigun,2017.0,CNG,Manual,2.0,2.0,1800.0,4.0,2.0,0
9.0,Renault,Lodgy,2015.0,Petrol,Manual,2.0,1.0,1800.0,5.0,2.0,0
10.0,Kia,EV6,2019.0,CNG,Automatic,1.0,2.0,1800.0,6.0,2.0,1
11.0,Honda,Jazz,2022.0,CNG,Automatic,3.0,2.0,1500.0,4.0,1.0,0
12.0,Honda,Civic,2018.0,Petrol,Manual,2.0,1.0,2000.0,6.0,1.0,1
13.0,Renault,Kiger,2022.0,Petrol,Automatic,1.0,3.0,1000.0,5.0,2.0,2
14.0,Honda,Jazz,2022.0,CNG,Manual,3.0,3.0,2500.0,7.0,1.0,1
15.0,Mahindra,Scorpio,2017.0,Diesel,Manual,2.0,1.0,2500.0,6.0,3.0,1
16.0,Tata Motors,Punch,2016.0,Diesel,Automatic,1.0,2.0,2500.0,5.0,1.0,1
17.0,Toyota,Fortuner,2016.0,CNG,Automatic,1.0,1.0,1000.0,4.0,1.0,0
18.0,Skoda,Kushaq,2023.0,Petrol,Automatic,3.0,2.0,1200.0,7.0,3.0,2
19.0,Tata Motors,Tiago,2015.0,CNG,Manual,1.0,1.0,1200.0,6.0,2.0,0
20.0,Skoda,Superb,2017.0,CNG,Manual,2.0,3.0,1200.0,7.0,3.0,2
21.0,Honda,Jazz,2024.0,Diesel,Manual,2.0,2.0,1500.0,4.0,1.0,0
22.0,Toyota,Fortuner,2022.0,Diesel,Manual,2.0,3.0,2000.0,5.0,3.0,1
23.0,Toyota,Camry,2023.0,Electric,Automatic,2.0,1.0,1200.0,5.0,3.0,0
24.0,Mahindra,XUV700,2016.0,Electric,Automatic,2.0,2.0,1500.0,5.0,1.0,0
25.0,Toyota,Glanza,2020.0,Electric,Automatic,2.0,2.0,2000.0,7.0,1.0,1
26.0,Tata Motors,Punch,2024.0,Petrol,Manual,2.0,3.0,1200.0,7.0,1.0,2
27.0,Maruti Suzuki,Ertiga,2015.0,Electric,Automatic,1.0,2.0,1000.0,4.0,3.0,0
28.0,Mahindra,XUV700,2019.0,Electric,Manual,2.0,1.0,2500.0,6.0,2.0,1
29.0,Tata Motors,Altroz,2018.0,Electric,Manual,2.0,2.0,2500.0,5.0,2.0,1
30.0,Renault,Kiger,2022.0,Electric,Automatic,2.0,2.0,1200.0,4.0,2.0,0
31.0,Tata Motors,Harrier,2023.0,Diesel,Manual,2.0,1.0,2500.0,6.0,2.0,1
32.0,Kia,Carnival,2022.0,Diesel,Automatic,1.0,1.0,1500.0,5.0,2.0,0
33.0,Toyota,Innova,2018.0,CNG,Manual,2.0,3.0,800.0,6.0,2.0,2
34.0,Honda,Amaze,2021.0,CNG,Automatic,2.0,3.0,2500.0,6.0,2.0,1
35.0,Volkswagen,Polo,2016.0,CNG,Automatic,2.0,3.0,1500.0,7.0,2.0,2
36.0,Maruti Suzuki,Swift,2019.0,Diesel,Manual,2.0,1.0,1500.0,7.0,2.0,0
37.0,Kia,EV6,2020.0,CNG,Automatic,2.0,2.0,1000.0,7.0,1.0,2
38.0,Hyundai,Verna,2019.0,Diesel,Automatic,2.0,2.0,1800.0,7.0,2.0,1
39.0,Skoda,Slavia,2017.0,Diesel,Automatic,3.0,1.0,1800.0,6.0,1.0,0
40.0,Toyota,Glanza,2015.0,Diesel,Automatic,1.0,1.0,1800.0,6.0,1.0,0
41.0,Tata Motors,Harrier,2021.0,Diesel,Manual,2.0,3.0,1500.0,4.0,3.0,2
42.0,Tata Motors,Harrier,2024.0,Diesel,Automatic,1.0,2.0,2000.0,4.0,2.0,1
43.0,Tata Motors,Nexon,2022.0,CNG,Manual,2.0,2.0,1200.0,5.0,2.0,0
44.0,Tata Motors,Punch,2021.0,CNG,Automatic,1.0,1.0,1500.0,7.0,2.0,0
45.0,Mahindra,Scorpio,2022.0,CNG,Automatic,2.0,3.0,1800.0,6.0,2.0,2
46.0,Maruti Suzuki,Dzire,2018.0,CNG,Manual,2.0,3.0,1500.0,7.0,2.0,2
47.0,Honda,Civic,2024.0,Diesel,Manual,1.0,2.0,2000.0,4.0,2.0,1
48.0,Honda,Amaze,2022.0,Petrol,Automatic,1.0,2.0,1000.0,7.0,3.0,2
49.0,Volkswagen,Virtus,2021.0,Diesel,Manual,1.0,1.0,1200.0,4.0,1.0,0
50.0,Volkswagen,Tiguan,2020.0,Petrol,Manual,3.0,2.0,1800.0,6.0,1.0,1
51.0,Skoda,Octavia,2015.0,CNG,Automatic,2.0,1.0,2500.0,4.0,3.0,1
52.0,Kia,Seltos,2023.0,Electric,Manual,2.0,1.0,2000.0,5.0,1.0,0
53.0,Mahindra,Bolero,2019.0,Petrol,Automatic,2.0,2.0,1200.0,4.0,3.0,0
54.0,Kia,Carnival,2020.0,Diesel,Manual,2.0,2.0,1000.0,6.0,1.0,2
55.0,Skoda,Kushaq,2023.0,Electric,Automatic,1.0,2.0,1500.0,6.0,2.0,2
56.0,Toyota,Innova,2023.0,Electric,Manual,3.0,2.0,1500.0,5.0,2.0,0
57.0,Toyota,Innova,2018.0,Electric,Manual,1.0,2.0,1200.0,7.0,1.0,2
58.0,Mahindra,Thar,2015.0,Electric,Automatic,2.0,3.0,2000.0,7.0,3.0,2
59.0,Skoda,Slavia,2016.0,Diesel,Automatic,3.0,1.0,1800.0,5.0,3.0,0
60.0,Toyota,Camry,2016.0,Diesel,Manual,1.0,3.0,1200.0,4.0,3.0,2
61.0,Hyundai,i10,2024.0,Petrol,Automatic,2.0,2.0,800.0,5.0,2.0,0
62.0,Tata Motors,Nexon,2020.0,Diesel,Manual,3.0,1.0,800.0,7.0,2.0,0
63.0,Mahindra,Scorpio,2016.0,CNG,Automatic,1.0,3.0,1500.0,4.0,1.0,2
64.0,Kia,Carnival,2022.0,Electric,Manual,2.0,1.0,1000.0,6.0,2.0,0
65.0,Tata Motors,Nexon,2018.0,Petrol,Manual,2.0,1.0,2500.0,7.0,2.0,1
66.0,Kia,Sonet,2016.0,Diesel,Manual,2.0,3.0,1200.0,5.0,1.0,2
67.0,Skoda,Superb,2020.0,Diesel,Manual,2.0,2.0,2500.0,4.0,2.0,1
68.0,Kia,Sonet,2020.0,Diesel,Automatic,2.0,1.0,1200.0,6.0,3.0,0
69.0,Hyundai,Venue,2021.0,Electric,Automatic,2.0,2.0,2500.0,6.0,3.0,1
70.0,Skoda,Rapid,2015.0,Electric,Automatic,2.0,2.0,800.0,4.0,3.0,0
71.0,Toyota,Glanza,2023.0,Diesel,Automatic,2.0,3.0,800.0,4.0,2.0,2
72.0,Hyundai,Creta,2020.0,Electric,Manual,2.0,2.0,2500.0,6.0,3.0,1
